iter	Passed	Remaining
0	12	2442
1	22	2246
2	33	2197
3	43	2143
4	57	2248
5	73	2368
6	89	2469
7	102	2467
8	115	2461
9	129	2456
10	141	2425
11	151	2377
12	163	2350
13	176	2341
14	187	2315
15	199	2299
16	212	2288
17	224	2267
18	235	2241
19	245	2206
20	255	2175
21	265	2147
22	275	2119
23	285	2091
24	295	2069
25	307	2060
26	317	2033
27	328	2019
28	339	1999
29	350	1984
30	359	1959
31	369	1938
32	379	1920
33	388	1898
34	397	1876
35	406	1854
36	415	1831
37	424	1809
38	433	1789
39	442	1769
40	451	1750
41	460	1732
42	468	1710
43	476	1690
44	485	1673
45	494	1656
46	503	1639
47	512	1621
48	522	1608
49	530	1591
50	539	1575
51	548	1560
52	558	1549
53	567	1534
54	576	1520
55	585	1506
56	595	1494
57	606	1484
58	616	1473
59	626	1460
60	635	1447
61	644	1433
62	652	1419
63	662	1407
64	672	1396
65	681	1383
66	689	1369
67	699	1356
68	708	1345
69	717	1333
70	728	1323
71	739	1315
72	752	1309
73	763	1299
74	774	1290
75	783	1277
76	794	1269
77	805	1260
78	818	1253
79	829	1243
80	840	1234
81	852	1226
82	860	1213
83	872	1204
84	884	1197
85	896	1188
86	909	1181
87	926	1179
88	939	1171
89	952	1163
90	962	1153
91	972	1141
92	981	1129
93	991	1118
94	1001	1107
95	1011	1095
96	1020	1083
97	1029	1071
98	1038	1059
99	1047	1047
100	1057	1036
101	1067	1025
102	1084	1021
103	1101	1016
104	1117	1010
105	1131	1003
106	1147	997
107	1161	989
108	1173	980
109	1184	969
110	1195	958
111	1209	950
112	1230	947
113	1242	937
114	1252	925
115	1265	916
116	1275	905
117	1290	896
118	1303	887
119	1320	880
120	1335	872
121	1350	863
122	1362	852
123	1372	841
124	1384	830
125	1397	820
126	1408	809
127	1419	798
128	1430	787
129	1442	776
130	1452	765
131	1463	754
132	1473	742
133	1484	730
134	1493	718
135	1503	707
136	1514	696
137	1523	684
138	1531	672
139	1540	660
140	1549	648
141	1558	636
142	1568	625
143	1576	613
144	1585	601
145	1594	589
146	1602	577
147	1612	566
148	1621	555
149	1630	543
150	1638	531
151	1647	520
152	1656	508
153	1664	497
154	1673	485
155	1682	474
156	1691	463
157	1699	451
158	1707	440
159	1716	429
160	1725	418
161	1736	407
162	1744	396
163	1753	384
164	1762	373
165	1771	362
166	1779	351
167	1789	340
168	1797	329
169	1807	319
170	1817	308
171	1826	297
172	1835	286
173	1845	275
174	1853	264
175	1861	253
176	1870	243
177	1880	232
178	1888	221
179	1897	210
180	1907	200
181	1915	189
182	1924	178
183	1935	168
184	1943	157
185	1953	147
186	1962	136
187	1971	125
188	1980	115
189	1988	104
190	1996	94
191	2005	83
192	2014	73
193	2022	62
194	2031	52
195	2040	41
196	2049	31
197	2058	20
198	2067	10
199	2076	0
