login_time,failed_attempts,login_location,label
21,0,Coimbatore,1
0,8,Kollam,-1
9,9,Kochi,-1
7,1,Kollam,1
17,2,Coimbatore,1
20,2,Coimbatore,1
7,1,Kochi,1
12,0,Chennai,1
13,2,Kochi,1
21,0,Chennai,1
21,9,Kollam,-1
7,1,Kollam,1
20,1,Kochi,1
5,5,Kollam,-1
17,8,Mumbai,-1
21,2,Hyderabad,-1
10,2,Kollam,1
10,0,Coimbatore,1
16,2,Kollam,1
7,1,Coimbatore,1
8,0,Chennai,1
9,2,Coimbatore,1
16,0,Kochi,1
16,2,Kollam,1
6,1,Chennai,1
7,1,Chennai,1
15,0,Kollam,1
16,7,Kochi,-1
20,8,Chennai,-1
0,9,Delhi,-1
15,1,Kochi,1
15,2,Kollam,1
7,2,Coimbatore,1
8,0,Kochi,1
9,2,Coimbatore,1
14,1,Kollam,1
9,0,Chennai,1
7,0,Kollam,1
16,8,Noida,-1
7,2,Coimbatore,1
9,0,Chennai,1
9,1,Chennai,1
20,2,Kollam,1
23,8,Hyderabad,-1
15,1,Kochi,1
20,1,Chennai,1
16,8,Noida,-1
6,1,Kollam,1
9,2,Coimbatore,1
15,1,Chennai,1
6,1,Kollam,1
6,4,Kollam,-1
10,0,Coimbatore,1
17,1,Kochi,1
17,0,Kochi,1
21,1,Kochi,1
17,2,Kollam,1
6,1,Kollam,1
20,2,Kollam,1
3,3,Hyderabad,-1
17,0,Kochi,1
18,2,Chennai,1
14,1,Kollam,1
9,1,Kollam,1
13,0,Chennai,1
14,2,Coimbatore,1
6,2,Chennai,1
5,4,Mumbai,-1
12,0,Kollam,1
13,0,Chennai,1
9,2,Coimbatore,1
7,0,Kollam,1
6,0,Coimbatore,1
14,7,Delhi,-1
19,2,Kochi,1
20,2,Chennai,1
21,2,Coimbatore,1
14,2,Kollam,1
7,0,Coimbatore,1
13,1,Kollam,1
6,1,Kochi,1
10,1,Kollam,1
6,2,Kochi,1
19,2,Coimbatore,1
7,0,Coimbatore,1
9,2,Kochi,1
14,1,Kollam,1
